SourceSite;TravelTime in sec;DestinationSite
STO_013;663;STO_033
STO_013;1576;STO_034
STO_013;1667;STO_035
STO_013;1953;STO_036
STO_013;2252;STO_037
STO_013;3141;STO_038
STO_013;1353;STO_039
STO_013;1820;STO_040
STO_013;2177;STO_041
STO_013;2087;STO_042
STO_013;2535;STO_043
STO_013;1866;STO_044
STO_013;1294;STO_045
STO_013;3080;STO_046
STO_013;2543;STO_047
STO_013;2229;STO_048
STO_014;2871;HUB_001
STO_014;3562;STO_002
STO_014;2950;STO_003
STO_014;2590;STO_004
STO_014;1759;STO_005
STO_014;2345;STO_006
STO_014;1754;STO_007
STO_014;4321;STO_008
STO_014;2967;STO_009
STO_014;1868;STO_010
STO_014;658;STO_011
STO_014;2607;STO_012
STO_014;1100;STO_013
STO_014;0;STO_014
STO_014;3284;STO_015
STO_014;3092;STO_016
STO_014;1942;STO_017
STO_014;2460;STO_018
STO_014;3515;STO_019
STO_014;2558;STO_020
STO_014;2891;STO_021
STO_014;3105;STO_022
STO_014;1079;STO_023
STO_014;3961;STO_024
STO_014;3159;STO_025
STO_014;1488;STO_026
STO_014;2092;STO_027
STO_014;2990;STO_028
STO_014;414;STO_029
STO_014;1241;STO_030
STO_014;3257;STO_031
STO_014;4016;STO_032
STO_014;1695;STO_033
STO_014;2610;STO_034
STO_014;2540;STO_035
STO_014;1529;STO_036
STO_014;3295;STO_037
STO_014;3780;STO_038
STO_014;2431;STO_039
STO_014;2122;STO_040
STO_014;2103;STO_041
STO_014;3117;STO_042
STO_014;2751;STO_043
STO_014;2965;STO_044
STO_014;2319;STO_045
STO_014;3584;STO_046
STO_014;3438;STO_047
STO_014;3270;STO_048
STO_015;889;HUB_001
STO_015;2321;STO_002
STO_015;336;STO_003
STO_015;3232;STO_004
STO_015;2982;STO_005
STO_015;2489;STO_006
STO_015;2623;STO_007
STO_015;2623;STO_008
STO_015;2314;STO_009
STO_015;3529;STO_010
STO_015;3685;STO_011
STO_015;3907;STO_012
STO_015;3231;STO_013
STO_015;3284;STO_014
STO_015;0;STO_015
STO_015;2956;STO_016
STO_015;1477;STO_017
STO_015;1775;STO_018
STO_015;3405;STO_019
STO_015;3364;STO_020
STO_015;2722;STO_021
STO_015;3378;STO_022
STO_015;2730;STO_023
STO_015;2724;STO_024
STO_015;4433;STO_025
STO_015;1841;STO_026
STO_015;3454;STO_027
STO_015;637;STO_028
STO_015;3583;STO_029
STO_015;2111;STO_030
STO_015;4012;STO_031
STO_015;2400;STO_032
STO_015;2999;STO_033
STO_015;3098;STO_034
STO_015;2483;STO_035
STO_015;1876;STO_036
STO_015;3404;STO_037
STO_015;1902;STO_038
STO_015;3314;STO_039
STO_015;1439;STO_040
STO_015;1182;STO_041
STO_015;3248;STO_042
STO_015;762;STO_043
STO_015;3840;STO_044
STO_015;3000;STO_045
STO_015;1398;STO_046
STO_015;2722;STO_047
STO_015;3376;STO_048
STO_016;2070;HUB_001
STO_016;1024;STO_002
STO_016;2832;STO_003
STO_016;717;STO_004
STO_016;1385;STO_005
STO_016;799;STO_006
STO_016;1341;STO_007
STO_016;1672;STO_008
STO_016;648;STO_009
STO_016;1641;STO_010
STO_016;2909;STO_011
STO_016;1414;STO_012
STO_016;2117;STO_013
STO_016;3092;STO_014
STO_016;2956;STO_015
STO_016;0;STO_016
STO_016;2070;STO_017
STO_016;1269;STO_018
STO_016;506;STO_019
STO_016;864;STO_020
STO_016;264;STO_021
STO_016;465;STO_022
STO_016;2017;STO_023
STO_016;1145;STO_024
STO_016;1712;STO_025
STO_016;2824;STO_026
STO_016;1371;STO_027
STO_016;2319;STO_028
STO_016;3502;STO_029
STO_016;2917;STO_030
STO_016;1141;STO_031
STO_016;1460;STO_032
STO_016;1453;STO_033
STO_016;594;STO_034
STO_016;642;STO_035
STO_016;3000;STO_036
STO_016;447;STO_037
STO_016;1628;STO_038
STO_016;936;STO_039
STO_016;1880;STO_040
STO_016;2608;STO_041
STO_016;313;STO_042
STO_016;2246;STO_043
STO_016;1084;STO_044
STO_016;835;STO_045
STO_016;1910;STO_046
STO_016;546;STO_047
STO_016;420;STO_048
STO_017;929;HUB_001
STO_017;1989;STO_002
STO_017;1180;STO_003
STO_017;2053;STO_004
STO_017;1585;STO_005
STO_017;1347;STO_006
STO_017;1236;STO_007
STO_017;2651;STO_008
STO_017;1582;STO_009
STO_017;2116;STO_010
STO_017;2245;STO_011
STO_017;2609;STO_012
STO_017;1754;STO_013
STO_017;1942;STO_014
STO_017;1477;STO_015
STO_017;2070;STO_016
STO_017;0;STO_017
STO_017;861;STO_018
STO_017;2576;STO_019
STO_017;2149;STO_020
STO_017;1805;STO_021
STO_017;2370;STO_022
STO_017;1252;STO_023
STO_017;2448;STO_024
STO_017;3185;STO_025
STO_017;851;STO_026
STO_017;2093;STO_027
STO_017;1059;STO_028
STO_017;2302;STO_029
STO_017;1049;STO_030
STO_017;2893;STO_031
STO_017;2347;STO_032
STO_017;1587;STO_033
STO_017;1955;STO_034
STO_017;1443;STO_035
STO_017;1009;STO_036
STO_017;2472;STO_037
STO_017;1990;STO_038
STO_017;2066;STO_039
STO_017;240;STO_040
STO_017;563;STO_041
STO_017;2283;STO_042
STO_017;822;STO_043
STO_017;2662;STO_044
STO_017;1764;STO_045
STO_017;1693;STO_046
STO_017;2116;STO_047
STO_017;2442;STO_048
STO_018;902;HUB_001
STO_018;1163;STO_002
STO_018;1599;STO_003
STO_018;1456;STO_004
STO_018;1353;STO_005
STO_018;717;STO_006
STO_018;1023;STO_007
STO_018;1884;STO_008
STO_018;723;STO_009
STO_018;1885;STO_010
STO_018;2557;STO_011
STO_018;2149;STO_012
STO_018;1861;STO_013
STO_018;2460;STO_014
STO_018;1775;STO_015
STO_018;1269;STO_016
STO_018;861;STO_017
STO_018;0;STO_018
STO_018;1766;STO_019
STO_018;1591;STO_020
STO_018;1010;STO_021
STO_018;1639;STO_022
STO_018;1476;STO_023
STO_018;1611;STO_024
STO_018;2659;STO_025
STO_018;1695;STO_026
STO_018;1749;STO_027
STO_018;1153;STO_028
STO_018;2863;STO_029
