"Pseudonym";"Delivery days";"ServiceTimeFrom";"ServiceTimeTo"
"STO_392";"Mo-Sa";"06:00";"22:00"
"STO_393";"Mo-Sa";"06:00";"22:00"
"STO_394";"Mo-Sa";"01:00";"00:00"
"STO_395";"Mo-Sa";"01:00";"00:00"
"STO_396";"Mo-Sa";"06:00";"22:00"
"STO_397";"Mo-Sa";"01:00";"00:00"
"STO_398";"Mo-Sa";"21:00";"00:00"
"STO_399";"Mo-Sa";"01:00";"00:00"
"STO_400";"Mo-Sa";"01:00";"00:00"
"STO_401";"Mo-Sa";"01:00";"00:00"
"STO_402";"Mo-Sa";"06:00";"22:00"
"STO_403";"Mo-Sa";"06:00";"22:00"
"STO_404";"Mo-Sa";"06:00";"08:00"
"STO_405";"Mo-Sa";"06:00";"22:00"
"STO_406";"Mo-Sa";"01:00";"00:00"
"STO_407";"Mo-Sa";"01:00";"00:00"
"STO_408";"Mo-Sa";"06:00";"22:00"
"STO_409";"Mo-Sa";"06:00";"22:00"
"STO_410";"Mo-Sa";"01:00";"00:00"
"STO_411";"Mo-Sa";"01:00";"00:00"
"STO_412";"Mo-Sa";"06:00";"22:00"
"STO_413";"Mo-Sa";"01:00";"00:00"
"STO_414";"Mo-Sa";"01:00";"00:00"
"STO_415";"Mo-Sa";"01:00";"00:00"
"STO_416";"Mo-Sa";"01:00";"00:00"
"STO_417";"Mo-Sa";"06:00";"22:00"
"STO_418";"Mo-Sa";"06:00";"22:00"
"STO_419";"Mo-Sa";"01:00";"00:00"
"STO_420";"Mo-Sa";"06:00";"20:00"
"STO_421";"Mo-Sa";"06:00";"22:00"
"STO_422";"Mo-Sa";"01:00";"00:00"
"STO_423";"Mo-Sa";"01:00";"00:00"
"STO_424";"Mo-Sa";"01:00";"00:00"
"STO_425";"Mo-Sa";"06:00";"10:00"
"STO_426";"Mo-Sa";"01:00";"00:00"
"STO_427";"Mo-Sa";"06:00";"22:00"
"STO_428";"Mo-Sa";"06:00";"22:00"
"STO_429";"Mo-Sa";"06:00";"22:00"
"STO_430";"Mo-Sa";"06:00";"22:00"
"STO_431";"Mo-Sa";"01:00";"00:00"
"STO_432";"Mo-Sa";"01:00";"00:00"
"STO_433";"Mo-Sa";"01:00";"00:00"
"STO_434";"Mo-Sa";"01:00";"00:00"
"STO_435";"Mo-Sa";"06:00";"22:00"
"STO_436";"Mo-Sa";"01:00";"00:00"
"STO_437";"Mo-Sa";"06:00";"22:00"
"STO_438";"Mo-Sa";"01:00";"00:00"
"STO_439";"Mo-Sa";"01:00";"00:00"
"STO_440";"Mo-Sa";"01:00";"00:00"
"STO_441";"Mo-Sa";"06:00";"22:00"
"STO_442";"Mo-Sa";"01:00";"00:00"
"STO_443";"Mo-Sa";"01:00";"00:00"
"STO_444";"Mo-Sa";"01:00";"00:00"
"STO_445";"Mo-Sa";"01:00";"00:00"
"STO_446";"Mo-Sa";"01:00";"00:00"
"STO_447";"Mo-Sa";"06:00";"22:00"
"STO_448";"Mo-Sa";"01:00";"00:00"
"STO_449";"Mo-Sa";"07:00";"22:00"
"STO_450";"Mo-Sa";"01:00";"00:00"
"STO_451";"Mo-Sa";"01:00";"00:00"
"STO_452";"Mo-Sa";"06:00";"22:00"
"STO_453";"Mo-Sa";"01:00";"00:00"
"STO_454";"Mo-Sa";"01:00";"00:00"
"STO_455";"Mo-Sa";"01:00";"00:00"
"STO_456";"Mo-Sa";"06:00";"22:00"
"STO_457";"Mo-Sa";"01:00";"00:00"
"STO_458";"Mo-Sa";"07:00";"22:00"
"STO_459";"Mo-Sa";"01:00";"00:00"
"STO_460";"Mo-Sa";"01:00";"00:00"
"STO_461";"Mo-Sa";"01:00";"00:00"
"STO_462";"Mo-Sa";"06:00";"23:30"
"STO_463";"Mo-Sa";"01:00";"00:00"
"STO_464";"Mo-Sa";"01:00";"00:00"
"STO_465";"Mo-Sa";"01:00";"00:00"
"STO_466";"Mo-Sa";"01:00";"00:00"
"STO_467";"Mo-Sa";"01:00";"00:00"
"STO_468";"Mo-Sa";"07:00";"22:00"
"STO_469";"Mo-Sa";"01:00";"00:00"
"STO_470";"Mo-Sa";"06:00";"22:00"
"STO_471";"Mo-Sa";"01:00";"00:00"
"STO_472";"Mo-Sa";"01:00";"00:00"
"STO_473";"Mo-Sa";"06:00";"22:00"
